City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Garowe,SO,78.08,clear sky,8.4054,48.4845,Curubo Hotel
11,Bambanglipuro,ID,80.74,broken clouds,-7.95,110.2833,Puri Brata
20,Sao Miguel Do Araguaia,BR,83.55,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
23,Kapaa,US,81.19,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Hithadhoo,MV,82.2,overcast clouds,-0.6,73.0833,Scoop Guest House
28,Atuona,PF,78.12,clear sky,-9.8,-139.0333,Villa Enata
30,Yulara,AU,80.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
35,Pringsewu,ID,80.56,overcast clouds,-5.3582,104.9744,Urban Style by Front One
39,Bengkulu,ID,78.04,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
47,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
51,Salalah,OM,79.97,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
53,Katobu,ID,83.41,broken clouds,-4.9408,122.5276,La Ode Husein
54,Tarrafal,CV,79.59,scattered clouds,15.2833,-23.7667,Hotel Ixola
55,Kudahuvadhoo,MV,81.19,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
59,Labuhan,ID,80.82,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
63,Avarua,CK,78.85,scattered clouds,-21.2078,-159.775,Paradise Inn
75,Ghatal,IN,79.09,broken clouds,22.6667,87.7167,Mongal Bhawan
78,Butaritari,KI,83.97,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
80,Tomatlan,MX,77.63,overcast clouds,19.9333,-105.25,El Salvial
100,Trairi,BR,79.07,broken clouds,-3.2778,-39.2689,janelas do mar
101,Malaut,IN,78.26,clear sky,30.2167,74.4833,"Sea Shell Resort, Malout"
105,Honiara,SB,83.73,overcast clouds,-9.4333,159.95,Heritage Park Hotel
107,Lorengau,PG,83.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
110,Katsuura,JP,77.18,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
115,Celestun,MX,82.22,broken clouds,20.8667,-90.4,Posada Lilia
121,Gillette,US,81.25,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
124,Dingle,PH,83.32,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
126,San Patricio,US,80.02,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
127,Auki,SB,83.7,overcast clouds,-8.7676,160.7034,Auki Motel
133,Amambai,BR,77.81,clear sky,-23.1042,-55.2258,Keren Hotel
136,Nuevo Progreso,MX,83.59,few clouds,23.1667,-97.95,Balneario Rio el Paraiso
137,Sinnamary,GF,80.56,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
138,Georgetown,MY,79.9,light rain,5.4112,100.3354,Cititel Penang
141,Ormara,PK,81.63,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
142,Rajgarh,IN,79.61,clear sky,28.6333,75.3833,Nand Plaza Hotel & Bar
147,Biak,ID,80.98,overcast clouds,-0.9131,122.8766,Penginapan Kim
149,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
