City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.6789,156.125,52.45,82,66,12.33,broken clouds
1,Polunochnoye,RU,60.8697,60.4153,27.37,97,99,4.32,overcast clouds
2,Norman Wells,CA,65.282,-126.8329,35.64,69,75,5.75,broken clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,75,13.8,light rain
4,Ponta Do Sol,PT,32.6667,-17.1,70.43,70,27,3.36,scattered clouds
5,Karratha,AU,-20.7377,116.8463,75.45,34,0,11.34,clear sky
6,Rikitea,PF,-23.1203,-134.9692,73.78,72,2,19.42,clear sky
7,Garowe,SO,8.4054,48.4845,78.08,57,9,16.75,clear sky
8,Nanortalik,GL,60.1432,-45.2371,37.08,80,7,1.92,clear sky
9,Ushuaia,AR,-54.8,-68.3,40.66,60,0,8.05,clear sky
10,San Ignacio,BZ,17.1561,-89.0714,75.34,94,0,4.61,clear sky
11,Bambanglipuro,ID,-7.95,110.2833,80.74,72,67,13.85,broken clouds
12,Paamiut,GL,61.994,-49.6678,33.91,69,7,3.22,clear sky
13,Yellowknife,CA,62.456,-114.3525,45.41,72,40,8.05,scattered clouds
14,Beringovskiy,RU,63.05,179.3167,36.95,85,92,1.81,overcast clouds
15,Saskylakh,RU,71.9167,114.0833,34.95,99,100,11.88,overcast clouds
16,Pisco,PE,-13.7,-76.2167,60.85,82,0,13.8,clear sky
17,Bluff,NZ,-46.6,168.3333,51.8,53,7,5.35,clear sky
18,Saint-Joseph,RE,-21.3667,55.6167,68.36,84,45,15.17,light rain
19,Novikovo,RU,51.1537,37.8879,47.77,83,100,15.05,overcast clouds
20,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,83.55,41,67,3.53,broken clouds
21,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,10.36,clear sky
22,Santa Maria,BR,-29.6842,-53.8069,61.9,100,0,3.44,clear sky
23,Kapaa,US,22.0752,-159.319,81.19,72,19,4.0,light rain
24,Hithadhoo,MV,-0.6,73.0833,82.2,74,100,17.56,overcast clouds
25,Wajir,KE,1.7471,40.0573,74.7,65,0,14.85,clear sky
26,Thompson,CA,55.7435,-97.8558,59.16,63,40,0.0,scattered clouds
27,Busselton,AU,-33.65,115.3333,60.04,80,48,13.8,scattered clouds
28,Atuona,PF,-9.8,-139.0333,78.12,72,6,17.22,clear sky
29,Kodiak,US,57.79,-152.4072,47.53,55,0,11.1,clear sky
30,Yulara,AU,-25.2406,130.9889,80.44,12,100,14.97,overcast clouds
31,Huarmey,PE,-10.0681,-78.1522,63.32,86,33,5.86,scattered clouds
32,Bredasdorp,ZA,-34.5322,20.0403,58.32,88,39,5.75,scattered clouds
33,Karmala,IN,18.4167,75.2,73.4,90,99,9.75,overcast clouds
34,Half Moon Bay,US,37.4636,-122.4286,71.92,75,90,9.22,overcast clouds
35,Pringsewu,ID,-5.3582,104.9744,80.56,80,90,0.87,overcast clouds
36,Kamenka,RU,51.3223,42.7678,48.2,91,100,15.28,light rain
37,Zhangye,CN,38.9342,100.4517,65.84,33,93,3.65,overcast clouds
38,Hervey Bay,AU,-25.2986,152.8535,72.01,63,88,20.85,overcast clouds
39,Bengkulu,ID,-3.8004,102.2655,78.04,84,67,4.5,broken clouds
40,Pontianak,ID,-0.0333,109.3333,75.18,100,40,4.61,light rain
41,Caravelas,BR,-17.7125,-39.2481,73.0,77,100,8.16,overcast clouds
42,Ribeira Grande,PT,38.5167,-28.7,68.2,73,78,23.11,broken clouds
43,Hilo,US,19.7297,-155.09,88.29,84,90,12.66,moderate rain
44,Morant Bay,JM,17.8815,-76.4093,85.62,82,3,7.96,clear sky
45,New Norfolk,AU,-42.7826,147.0587,55.92,46,40,4.09,scattered clouds
46,Port Blair,IN,11.6667,92.75,77.04,94,40,2.3,mist
47,Vaini,TO,-21.2,-175.2,77.16,73,75,6.91,broken clouds
48,Coihaique,CL,-45.5752,-72.0662,40.95,81,75,6.91,light intensity shower rain
49,Viedma,AR,-40.8135,-62.9967,43.59,42,13,7.67,few clouds
50,Richards Bay,ZA,-28.783,32.0377,63.39,92,12,5.7,few clouds
51,Salalah,OM,17.0151,54.0924,79.97,87,8,3.02,clear sky
52,Lower Hutt,NZ,-41.2167,174.9167,53.02,81,90,23.02,moderate rain
53,Katobu,ID,-4.9408,122.5276,83.41,63,84,5.99,broken clouds
54,Tarrafal,CV,15.2833,-23.7667,79.59,82,34,10.0,scattered clouds
55,Kudahuvadhoo,MV,2.6708,72.8944,81.19,72,100,19.39,moderate rain
56,Zhetysay,KZ,40.7333,68.3,59.14,57,0,5.66,clear sky
57,Krasnoselkup,RU,65.7,82.4667,33.31,90,66,8.16,broken clouds
58,Lokosovo,RU,61.1333,74.8167,30.24,92,0,6.17,clear sky
59,Labuhan,ID,-6.8844,112.2051,80.82,74,19,4.97,few clouds
60,Hobart,AU,-42.8794,147.3294,56.26,51,20,5.99,few clouds
61,Arraial Do Cabo,BR,-22.9661,-42.0278,71.26,85,60,22.21,broken clouds
62,College,US,64.8569,-147.8028,35.01,76,99,1.39,overcast clouds
63,Avarua,CK,-21.2078,-159.775,78.85,69,40,3.44,scattered clouds
64,Clyde River,CA,70.4692,-68.5914,25.97,87,26,7.87,scattered clouds
65,Kushmurun,KZ,52.4503,64.6311,46.2,35,100,22.75,overcast clouds
66,Durango,MX,24.8333,-104.8333,65.19,68,100,7.58,overcast clouds
67,Cape Town,ZA,-33.9258,18.4232,60.28,76,0,1.99,clear sky
68,Ridgecrest,US,35.6225,-117.6709,90.68,21,0,8.01,clear sky
69,Tuatapere,NZ,-46.1333,167.6833,51.82,44,5,2.19,clear sky
70,Bara,NG,10.3744,10.7288,72.59,87,98,7.18,overcast clouds
71,Jamestown,US,42.097,-79.2353,61.34,79,77,1.01,broken clouds
72,Puerto Ayora,EC,-0.7393,-90.3518,69.28,90,99,8.37,overcast clouds
73,Nuuk,GL,64.1835,-51.7216,29.88,68,0,5.01,clear sky
74,Cherskiy,RU,68.75,161.3,29.57,97,100,23.22,snow
75,Ghatal,IN,22.6667,87.7167,79.09,91,56,4.74,broken clouds
76,Pevek,RU,69.7008,170.3133,31.51,89,100,24.25,light snow
77,Hamilton,US,39.1834,-84.5333,66.58,64,15,5.73,few clouds
78,Butaritari,KI,3.0707,172.7902,83.97,72,99,15.88,overcast clouds
79,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,75,19.57,light rain
80,Tomatlan,MX,19.9333,-105.25,77.63,88,100,1.63,overcast clouds
81,Mataura,NZ,-46.1927,168.8643,51.48,35,6,2.44,clear sky
